groimp_day,date,groimp_lai_3d,groimp_light_interception,groimp_intercepted_par,layer_light_0,layer_light_1,layer_light_2,layer_light_3,layer_light_4,layer_lai_0,layer_lai_1,layer_lai_2,layer_lai_3,layer_lai_4,groimp_plant_height,groimp_n_leaves,groimp_n_active_leaves,sun_photo,shade_photo,total_photo,tmax,tmin,irradiation,rain,tdew,tavg,rh_avg,daylight_sec,sunshine_sec,water_stress,soil_water
1,2022-04-28,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.00,2,2,0.00,0.00,0.00,25.9,10.4,21.0,0.0,-5.9,18.1,0.190,49561,30551,0.00,99
2,2022-04-29,0.001152,0.000822,0.0083,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.10,3,3,0.00,0.00,0.00,28.4,10.6,21.1,0.0,-4.1,19.5,0.200,49700,30600,0.00,97
3,2022-04-30,0.003591,0.002561,0.0260,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.10,3,3,0.00,0.00,0.00,30.9,11.6,21.1,0.0,0.4,21.3,0.250,49839,30575,0.00,95
4,2022-05-01,0.014152,0.010055,0.0926,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.10,3,3,0.00,0.00,0.00,32.8,12.4,19.2,0.0,6.4,22.6,0.350,49976,25333,0.00,94
5,2022-05-02,0.024394,0.017268,0.1469,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.24,4,4,0.00,0.00,0.00,33.3,13.3,17.7,0.0,5.7,23.3,0.320,50111,21367,0.00,92
6,2022-05-03,0.041263,0.029035,0.2811,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0017,1.68,4,4,0.00,0.00,0.00,32.9,20.7,20.2,0.0,2.0,26.8,0.200,50245,27645,0.00,91
7,2022-05-04,0.033166,0.023404,0.2142,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0009,2.92,4,4,0.00,0.00,0.00,32.0,21.6,19.1,0.0,7.8,26.8,0.300,50376,24635,0.00,89
8,2022-05-05,0.017157,0.012176,0.1168,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0016,3.43,5,5,0.00,0.00,0.00,30.5,18.1,20.0,0.1,11.3,24.3,0.440,50507,26907,0.00,88
9,2022-05-06,0.031371,0.022152,0.2236,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0022,4.25,5,5,0.00,0.00,0.00,33.0,16.1,21.0,0.0,10.1,24.5,0.400,50635,29489,0.00,86
10,2022-05-07,0.043766,0.030768,0.3078,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0013,6.29,5,5,0.00,0.00,0.00,35.6,18.4,20.8,0.0,8.0,27.0,0.300,50761,28868,0.00,85
11,2022-05-08,0.026275,0.018587,0.1784,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0023,7.17,6,6,0.00,0.00,0.00,36.4,18.3,20.0,0.0,7.2,27.4,0.280,50886,26535,0.00,83
12,2022-05-09,0.045055,0.031659,0.1893,0.0000,0.0000,0.0000,0.2518,0.7482,0.0000,0.0000,0.0000,0.0007,0.0024,8.11,6,6,0.00,0.00,0.00,33.9,22.3,12.5,0.0,6.8,28.1,0.260,51009,6860,0.00,82
13,2022-05-10,0.062047,0.043337,0.2636,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0023,10.19,6,6,0.00,0.00,0.00,24.7,17.4,12.7,0.0,6.2,21.0,0.380,51129,7312,0.00,81
14,2022-05-11,0.045108,0.031696,0.2839,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0014,0.0022,11.08,7,7,0.00,0.00,0.00,25.6,14.6,18.7,0.0,10.8,20.1,0.550,51248,22749,0.00,80
15,2022-05-12,0.071417,0.049716,0.4711,0.0000,0.0000,0.0000,0.5604,0.4396,0.0000,0.0000,0.0000,0.0026,0.0022,11.72,7,7,0.00,0.00,0.00,27.9,15.4,19.7,0.0,7.5,21.6,0.400,51364,25445,0.00,79
16,2022-05-13,0.095411,0.065856,0.4897,0.0000,0.0000,0.0000,0.0339,0.9661,0.0000,0.0000,0.0000,0.0013,0.0028,13.99,7,7,0.00,0.00,0.00,25.5,14.7,15.5,0.0,8.4,20.1,0.470,51478,14345,0.00,78
17,2022-05-14,0.081821,0.056749,0.5802,0.0000,0.0000,0.0000,0.1590,0.8410,0.0000,0.0000,0.0000,0.0017,0.0042,15.12,8,8,0.00,0.00,0.00,29.2,11.6,21.3,0.0,8.7,20.4,0.470,51590,29279,0.00,76
18,2022-05-15,0.119183,0.081576,0.7824,0.0000,0.0000,0.0000,0.3691,0.6309,0.0000,0.0000,0.0000,0.0033,0.0044,15.51,8,8,0.92,1.12,2.04,30.8,19.1,20.0,0.0,6.7,25.0,0.310,51700,25772,0.00,75
19,2022-05-16,0.154203,0.104253,1.0449,0.0000,0.0000,0.0000,0.3875,0.6125,0.0000,0.0000,0.0000,0.0019,0.0054,17.46,8,8,0.49,1.25,1.75,32.7,14.8,20.9,0.0,6.5,23.8,0.330,51807,28004,0.00,73
20,2022-05-17,0.144877,0.098270,0.8420,0.0000,0.0000,0.0000,0.3187,0.6813,0.0000,0.0000,0.0000,0.0025,0.0080,19.38,10,10,0.57,2.02,2.60,33.1,16.3,17.9,0.0,6.9,24.7,0.320,51912,20097,0.00,72
21,2022-05-18,0.211100,0.139905,1.0966,0.0000,0.0000,0.0000,0.4444,0.5556,0.0000,0.0000,0.0000,0.0053,0.0073,19.98,10,10,1.49,1.83,3.32,31.2,19.4,16.3,0.0,5.5,25.3,0.280,52014,16097,0.00,71
22,2022-05-19,0.252571,0.164990,1.3146,0.0000,0.0000,0.0000,0.4670,0.5330,0.0000,0.0000,0.0000,0.0038,0.0079,21.14,10,10,1.21,2.18,3.40,32.3,21.1,16.6,0.0,5.0,26.7,0.250,52114,16718,0.00,70
23,2022-05-20,0.233873,0.153772,0.9994,0.0000,0.0000,0.0000,0.2762,0.7238,0.0000,0.0000,0.0000,0.0050,0.0109,23.88,12,12,0.95,3.02,3.97,31.8,20.9,13.5,0.0,5.3,26.4,0.260,52211,8764,0.00,69
24,2022-05-21,0.319815,0.204116,1.0141,0.0000,0.0000,0.0236,0.2785,0.6979,0.0000,0.0000,0.0021,0.0057,0.0098,24.89,12,12,0.03,3.67,3.70,31.4,23.0,10.4,0.0,5.5,27.2,0.250,52305,488,0.00,68
25,2022-05-22,0.351448,0.221880,1.6689,0.0000,0.0000,0.2254,0.0825,0.6921,0.0000,0.0000,0.0028,0.0017,0.0104,25.50,12,12,0.54,3.28,3.82,33.7,23.2,15.7,0.0,7.1,28.5,0.260,52397,14115,0.00,66
26,2022-05-23,0.296242,0.190614,1.9543,0.0000,0.0000,0.0325,0.1458,0.8217,0.0000,0.0000,0.0036,0.0025,0.0133,28.50,13,13,0.16,4.77,4.93,34.3,20.8,21.4,0.0,6.3,27.5,0.260,52486,28683,0.00,64
27,2022-05-24,0.387462,0.239633,2.5087,0.0000,0.0000,0.0945,0.1547,0.7508,0.0000,0.0000,0.0052,0.0029,0.0132,30.14,13,13,0.58,4.38,4.95,33.6,18.6,21.8,0.0,5.6,26.1,0.270,52572,29773,0.00,62
