groimp_day,date,groimp_lai_today,c2k_lai_today,rel_diff_pct,nudge_wlf_delta,wlf_post,c2k_dev_stage
46,2025-06-10,1.3472,1.7967,25.02,-5.4213,129.8017,squaring
47,2025-06-11,1.4267,1.7679,19.3,-4.2234,129.9459,squaring
48,2025-06-12,1.4706,1.7559,16.24,-3.6366,130.8816,flowering
80,2025-07-14,3.6933,4.3612,15.31,-10.7233,264.9855,flowering
132,2025-09-04,1.6951,2.0208,16.12,-0.1239,139.5355,mature
133,2025-09-05,1.5934,1.9486,18.23,-0.1874,137.5526,mature
134,2025-09-06,1.5445,1.8778,17.75,-0.1891,135.5993,mature
135,2025-09-07,1.4748,1.8093,18.49,-0.2185,133.6472,mature
136,2025-09-08,1.4063,1.7427,19.3,-0.2488,131.6945,mature
137,2025-09-09,1.3419,1.6779,20.02,-0.276,129.746,mature
138,2025-09-10,1.2717,1.6301,21.99,-0.3133,127.8199,mature
139,2025-09-11,1.2028,1.5836,24.05,-0.3514,125.9083,mature
140,2025-09-12,1.14,1.5384,25.9,-0.3838,124.0041,mature
141,2025-09-13,1.0766,1.4942,27.95,-0.4199,122.1181,mature
142,2025-09-14,1.0137,1.4517,30.17,-0.4563,120.2285,mature
