date,irradiation,tmax,tmin,t_range,tavg,rh_avg,tdew,wind,rain,aqi,daylight_sec,sunshine_sec
2025/4/16,19.17,28.3,11.4,16.9,20.7,0.262,0.6,2,0,500,47993.97,35100
2025/4/17,22.04,24.6,15.4,9.2,19.9,0.126,-9.8,2,0,500,48144.38,35100
2025/4/18,19.61,20.3,13.6,6.7,17.4,0.355,2,2,0,500,48294.25,34861.93
2025/4/19,14.57,20.9,15.1,5.8,18,0.31,0.6,2,0,500,48444.02,34352.11
2025/4/20,19.58,22.9,14.9,8,18.5,0.256,-1.6,5,0,500,48593.59,35100
2025/4/21,18.45,19.1,12.2,6.9,15.3,0.288,-2.7,2,0,500,48742.86,34208.79
2025/4/22,21.54,22.9,11.2,11.7,16.9,0.283,-1.6,3.5,0,500,48891.71,33878.61
2025/4/23,21.7,24.4,12.3,12.1,18.5,0.321,1.5,2,0,500,49040.04,35174.93
2025/4/24,16.51,21.2,13.3,7.9,16.4,0.409,3.1,2,0,172,49187.73,35073.84
2025/4/25,21.95,23.1,9.4,13.7,16.4,0.422,3.5,2,0,71,49334.66,35130.09
2025/4/26,21.92,25.6,7.6,18,17.4,0.393,3.4,2,0,334,49480.72,35107.72
2025/4/27,21.52,26.5,13.3,13.2,19,0.378,4.3,2,0,364,49625.78,35322.79
2025/4/28,22.26,29.6,11.9,17.7,20.6,0.315,3.1,2,0,494,49769.73,35176.8
2025/4/29,22.45,32.9,12.9,20,22.6,0.319,5,2,0,179,49912.43,35279.34
2025/4/30,22.63,34.6,13.4,21.2,24.3,0.29,5.1,2,0,131,50053.77,35277.24
2025/5/1,23.11,35.9,13.1,22.8,25,0.278,5.1,2,0,110,50193.59,35706.63
2025/5/2,22.87,35.7,15.8,19.9,26.4,0.228,3.5,2,0,258,50331.78,35454.85
2025/5/3,18.17,26.9,20.7,6.2,24.1,0.275,4.2,2,0,500,50468.2,35611.85
2025/5/4,22.52,26.8,17.4,9.4,22.1,0.263,1.9,2,0,500,50602.7,35806.49
2025/5/5,23.06,31.7,19.1,12.6,24.7,0.25,3.4,2,0,500,50735.14,35761.4
2025/5/6,23.11,29.1,16.3,12.8,23.5,0.235,1.5,2,0,493,50865.38,35959.23
2025/5/7,23.4,31.5,12.3,19.2,22.5,0.308,4.4,2,0,354,50993.29,36401.35
2025/5/8,23.41,27.5,17.9,9.6,22.9,0.212,-0.5,2,0,500,51119.69,36117.21
2025/5/9,23.14,30,15.5,14.5,22.6,0.196,-1.8,2,0,500,51244.99,36319.39
2025/5/10,20.53,29,17.9,11.1,23.1,0.236,1.2,2,0,500,51369.08,35791.11
2025/5/11,22.42,32.6,15.4,17.2,24.3,0.265,3.8,2,0,500,51491.85,36728.57
2025/5/12,20.13,27.6,19.4,8.2,23.8,0.275,3.9,6.5,0,500,51613.17,35929.59
2025/5/13,22.58,29.6,12.3,17.3,22,0.341,5.5,2,0,135,51732.95,37144.26
2025/5/14,23.5,31,16.4,14.6,23.8,0.338,6.9,2,0,112,51851.04,37600.82
2025/5/15,23.75,33.7,15.3,18.4,24.5,0.354,8.2,2,0,153,51967.32,37320.07
2025/5/16,23.97,34.9,15.3,19.6,25.2,0.34,8.2,2,0,140,52081.69,37533.27
2025/5/17,24,35.6,16.5,19.1,26.3,0.348,9.5,2,0,147,52194,37748.41
2025/5/18,23.91,37,17.7,19.3,27.5,0.295,8.1,2,0,500,52304.13,37965.21
2025/5/19,21.82,33.3,19.5,13.8,26.9,0.241,4.7,2,0,500,52411.95,37437.63
2025/5/20,24.73,28.8,17.8,11,23.9,0.16,-3.5,2,0,500,52517.32,38653.61
2025/5/21,24.4,29.3,15.5,13.8,22.1,0.356,6.2,2,0,500,52620.1,38626.58
2025/5/22,24.46,32,17.1,14.9,24.5,0.285,5,2,0,500,52720.17,38715.73
2025/5/23,24.37,33.6,17.5,16.1,26.2,0.24,4,2,0,181,52817.38,38825.81
2025/5/24,21.42,32.9,18.1,14.8,25,0.259,4.1,2,0,327,52911.6,38519.25
2025/5/25,24.79,34.5,18.3,16.2,26.7,0.274,6.4,2,0,136,53002.68,39049.17
2025/5/26,24.76,35.1,17.1,18,27.2,0.267,6.4,2,0,500,53090.48,39328.49
2025/5/27,23.78,34.4,18.8,15.6,27.1,0.289,7.5,2,0,116,53174.86,39009.47
2025/5/28,12.99,25.9,20.1,5.8,22.9,0.268,2.8,2,0,225,53256.41,29456.08
2025/5/29,23.35,26.8,18.8,8,22,0.448,9.5,2,0,184,53335.41,36610.66
2025/5/30,24.55,29.8,17.7,12.1,23.5,0.376,8.2,2,0,500,53411.77,39622.82
2025/5/31,23.74,31,18.8,12.2,24.9,0.322,7.2,2,0,225,53485.43,38958.23
2025/6/1,24.07,31.5,18.4,13.1,25.2,0.272,5,2,0,176,53556.3,39638.53
2025/6/2,22.85,30.4,18.9,11.5,24.2,0.298,5.4,2,0,159,53624.3,39133
2025/6/3,24.49,32.5,19.2,13.3,25.1,0.275,5.1,2,0,147,53689.36,38783.83
2025/6/4,25.38,32.7,15.5,17.2,24.8,0.225,2,2,0,187,53751.38,39873.28
2025/6/5,24.32,33.3,17.3,16,25.1,0.315,7,2,0,188,53810.3,36595.19
2025/6/6,25.65,34.7,16.1,18.6,25.7,0.349,9.1,2,0,127,53866.04,39957.57
2025/6/7,25.55,36.3,16.3,20,27.3,0.296,8,2,0,107,53918.51,39996.08
2025/6/8,25.73,36.4,16,20.4,26.8,0.343,9.8,2,0,153,53967.65,40032.1
2025/6/9,25.44,36.8,20.1,16.7,29.1,0.266,8,2,0,158,54013.36,40065.56
2025/6/10,25.52,38.2,18.7,19.5,28.2,0.35,11.3,2,0,130,54055.59,40096.4
2025/6/11,25.38,38.3,21.7,16.6,29.6,0.342,12.2,2,0,137,54094.24,40109.99
2025/6/12,20.89,31.6,25.6,6,28.9,0.282,8.7,5,0,500,54129.25,39223.81
2025/6/13,24.89,33.8,22.7,11.1,28.6,0.285,8.6,2,0,258,54160.54,40116.72
2025/6/14,25.66,35.5,22,13.5,28.7,0.277,8.2,2,0,171,54188.05,39699.54
2025/6/15,21.37,34.2,24.2,10,28.4,0.295,8.9,2,0,500,54211.7,40118.22
2025/6/16,23.69,32.7,20.4,12.3,25.8,0.458,13.2,2,0,151,54231.43,40117.05
2025/6/17,25.06,35.4,18.9,16.5,27.6,0.364,11.4,2,0,115,54247.32,40114.36
2025/6/18,25.48,33.3,20.7,12.6,27.7,0.33,10,2,0,500,54259.47,37409.96
2025/6/19,25.52,34.8,18.1,16.7,26.8,0.408,12.4,2,0,116,54267.89,40103.88
2025/6/20,25.46,36.3,17.4,18.9,26.8,0.429,13.1,2,0,101,54272.6,40096.21
2025/6/21,23.71,34.9,24.1,10.8,29.1,0.337,11.5,2,0,310,54273.62,40025.14
2025/6/22,19.97,32.3,24.9,7.4,28,0.363,11.7,6.5,0,149,54270.97,38373.84
2025/6/23,24.79,32,21.7,10.3,25.2,0.499,14,2,0.1,179,54264.69,37800
2025/6/24,25.25,33,16.2,16.8,24.9,0.526,14.5,2,0,111,54254.8,40043.03
2025/6/25,25.3,36,20.9,15.1,27.7,0.41,13.3,2,0,78,54241.32,40035.63
2025/6/26,21.23,35.8,25.2,10.6,29.9,0.311,11,2,0,164,54224.28,39775.53
2025/6/27,17.94,29.4,22.9,6.5,25.8,0.423,12,2,0.1,56,54203.72,31170.79
2025/6/28,24.68,34.8,15.7,19.1,25.8,0.432,12.3,2,0,64,54179.68,39983.66
2025/6/29,25.25,35.1,17.7,17.4,26.8,0.381,11.3,2,0,87,54152.19,39821.72
2025/6/30,24.6,33.6,22.2,11.4,26.8,0.417,12.7,2,0,184,54121.27,38921.19
2025/7/1,23.8,32,18.3,13.7,25.9,0.394,11,2,0,304,54086.98,39127.22
2025/7/2,24.54,33.8,17.8,16,26.2,0.38,10.8,2,0,70,54049.35,39589.73
2025/7/3,24.29,33,22.2,10.8,27.4,0.331,9.8,2,0,65,54008.42,38640.21
2025/7/4,24.81,35,20.3,14.7,27,0.401,12.3,2,0,101,53964.23,39350.9
2025/7/5,24.93,35.3,19.4,15.9,27.3,0.394,12.3,2,0,151,53916.82,39618.28
2025/7/6,22.8,34.4,21.2,13.2,28.2,0.362,11.8,2,0,161,53866.23,39370.91
2025/7/7,20.71,35.3,17.3,18,26.4,0.424,12.6,2,0,67,53812.03,35994.13
2025/7/8,22.06,33.4,21.2,12.2,27.1,0.385,11.8,2,0,62,53754.06,39329.79
2025/7/9,17.61,32.8,21.2,11.6,25.3,0.498,14.1,2,0.1,62,53692.45,38634.4
2025/7/10,19.52,27.1,18.1,9,21.9,0.646,14.9,2,0.1,61,53627.3,16209.49
2025/7/11,23.47,31.1,18.7,12.4,24,0.575,15.1,2,0.1,51,53558.75,35704.5
2025/7/12,16.74,25.5,18.5,7,21.6,0.608,13.7,2,3.7,60,53486.91,32838.59
2025/7/13,24.54,31.4,14.9,16.5,23.2,0.578,14.4,2,0,57,53411.9,38942.14
2025/7/14,24.38,33.3,17.7,15.6,26,0.508,15,2,0,68,53333.83,38692.64
2025/7/15,22.19,33.2,19.7,13.5,25.9,0.567,16.6,2,0,84,53252.84,38312.75
2025/7/16,19.65,31.1,20.9,10.2,26,0.544,16.1,2,0,71,53169.02,35409.57
2025/7/17,20.34,32.6,24.8,7.8,27.6,0.476,15.5,2,0,116,53082.51,22245.45
2025/7/18,23.62,36.3,20.1,16.2,28.3,0.485,16.4,2,0,109,52993.41,38388.91
2025/7/19,23.76,37.5,20.1,17.4,28.7,0.45,15.6,2,0,123,52901.86,38373.81
2025/7/20,26.1,38,21.8,16.2,29.6,0.423,15.4,2,0,93,52807.93,35826.75
2025/7/21,17.15,32.8,24.5,8.3,27.5,0.465,15,2,0,74,52711.78,36168.27
2025/7/22,23.86,37.4,21.4,16,28.5,0.444,15.2,2,0,74,52613.49,38071.09
2025/7/23,26.07,37.3,18.1,19.2,27.8,0.487,16,2,0,94,52513.18,38051.99
2025/7/24,21.06,34,20.5,13.5,27.3,0.488,15.6,2,0,500,52410.95,35875.63
2025/7/25,17.24,31.9,19.9,12,26.1,0.515,15.3,2,0,85,52306.92,30463.32
2025/7/26,15.8,29.5,22.8,6.7,26.1,0.52,15.5,2,0,92,52201.18,33441.04
2025/7/27,20.54,31.5,24.4,7.1,27,0.486,15.3,2,0,86,52092.95,36836.25
2025/7/28,20.89,32.6,22.3,10.3,26.4,0.537,16.3,2,0,87,51981.93,34466.7
2025/7/29,23.3,35.4,17.5,17.9,26.7,0.555,17.1,2,0,118,51868.25,37596.63
2025/7/30,21.03,30.8,19.9,10.9,23.9,0.559,14.6,5,0,384,51752.07,35266.02
2025/7/31,22.4,30,18.3,11.7,24,0.608,16,2,0,46,51633.54,29813.38
2025/8/1,23.55,34.1,19.3,14.8,26.2,0.532,15.9,2,0,63,51512.78,36521.62
2025/8/2,20.38,31.8,19.1,12.7,25.1,0.521,14.6,2,0,500,51389.95,36433.54
2025/8/3,22.44,30,16,14,22.8,0.64,15.6,2,3.5,77,51265.18,36561.17
2025/8/4,22.68,30.6,16.9,13.7,24.2,0.539,14.3,2,4.8,70,51138.61,35632.67
2025/8/5,15.81,25.7,19.6,6.1,22.3,0.611,14.4,2,0,500,51010.36,25606.81
2025/8/6,22.35,29.8,16.9,12.9,23.3,0.576,14.5,2,0,80,50880.58,35419.15
2025/8/7,22.39,32.2,16.8,15.4,25,0.531,14.8,2,0,94,50749.38,36246.3
2025/8/8,22.23,31.9,17.2,14.7,25,0.504,14,2,0,92,50616.9,35949.04
2025/8/9,22.74,34.3,18.9,15.4,26.2,0.51,15.3,2,0,89,50483.25,35973.59
2025/8/10,22.64,35.4,18.4,17,26.6,0.498,15.3,2,0,99,50348.55,35759.47
2025/8/11,22.58,37.2,19.7,17.5,27.7,0.47,15.4,2,0,94,50212.93,35785.3
